,Currency,Rate
0,AED,3.919648
1,AFN,84.235147
2,ALL,106.945674
3,AMD,409.704542
4,ANG,1.920449
5,AOA,884.138161
6,ARS,373.364278
7,AUD,1.657478
8,AWG,1.920891
9,AZN,1.822208
10,BAM,1.955803
11,BBD,2.151523
12,BDT,116.950201
13,BGN,1.957132
14,BHD,0.402352
15,BIF,3018.748601
16,BMD,1.067162
17,BND,1.453175
18,BOB,7.361702
19,BRL,5.195375
20,BSD,1.065582
21,BTC,3.9748964e-05
22,BTN,88.463952
23,BWP,14.577615
24,BYN,2.689679
25,BYR,20916.371863
26,BZD,2.147923
27,CAD,1.44133
28,CDF,2635.889713
29,CHF,0.956044
30,CLF,0.034213
31,CLP,944.053937
32,CNY,7.784094
33,COP,4193.945991
34,CRC,564.885089
35,CUC,1.067162
36,CUP,28.279788
37,CVE,110.266222
38,CZK,24.447184
39,DJF,189.72677
40,DKK,7.455374
41,DOP,60.488403
42,DZD,146.536281
43,EGP,32.999629
44,ERN,16.007427
45,ETB,58.781248
46,EUR,1.0
47,FJD,2.418882
48,FKP,0.861578
49,GBP,0.860922
50,GEL,2.801322
51,GGP,0.861578
52,GHS,12.249021
53,GIP,0.861578
54,GMD,64.616852
55,GNF,9147.844242
56,GTQ,8.390093
57,GYD,222.939338
58,HKD,8.345488
59,HNL,26.256307
60,HRK,7.48583
61,HTG,144.387542
62,HUF,384.156909
63,IDR,16403.184411
64,ILS,4.080838
65,IMP,0.861578
66,INR,88.809738
67,IQD,1395.502393
68,IRR,45087.587244
69,ISK,145.101843
70,JEP,0.861578
71,JMD,164.825649
72,JOD,0.755659
73,JPY,157.549342
74,KES,156.92623
75,KGS,94.667699
76,KHR,4379.925424
77,KMF,492.868638
78,KPW,960.445435
79,KRW,1414.288363
80,KWD,0.329648
81,KYD,0.887993
82,KZT,498.796181
83,LAK,21307.43754
84,LBP,16016.177379
85,LKR,344.397363
86,LRD,198.971928
87,LSL,20.254619
88,LTL,3.151052
89,LVL,0.645516
90,LYD,5.166912
91,MAD,10.934572
92,MDL,19.127854
93,MGA,4808.827998
94,MKD,61.535196
95,MMK,2237.709477
96,MNT,3702.884466
97,MOP,8.591415
98,MRO,380.97659
99,MUR,47.867932
100,MVR,16.434372
101,MWK,1151.758804
102,MXN,18.202574
103,MYR,5.007166
104,MZN,67.497932
105,NAD,20.255033
106,NGN,842.521752
107,NIO,38.989336
108,NOK,11.571033
109,NPR,141.538264
110,NZD,1.806353
111,OMR,0.410857
112,PAB,1.065412
113,PEN,3.960707
114,PGK,3.864319
115,PHP,60.603059
116,PKR,316.375749
117,PLN,4.63669
118,PYG,7752.867994
119,QAR,3.885507
120,RON,4.967651
121,RSD,117.28284
122,RUB,102.994461
123,RWF,1286.166049
124,SAR,4.002914
125,SBD,8.969577
126,SCR,13.887301
127,SDG,638.549679
128,SEK,11.969698
129,SGD,1.455534
130,SHP,1.298469
131,SLE,23.813695
132,SLL,21076.445679
133,SOS,607.745593
134,SSP,641.363927
135,SRD,40.612442
136,STD,22088.095285
137,SYP,13875.027266
138,SZL,20.286464
139,THB,38.105137
140,TJS,11.70592
141,TMT,3.745738
142,TND,3.363162
143,TOP,2.552277
144,TRY,28.832792
145,TTD,7.232945
146,TWD,34.104679
147,TZS,2673.240958
148,UAH,39.353692
149,UGX,3975.006816
150,USD,1.067162
151,UYU,40.802805
152,UZS,12973.961458
153,VEF,3567442.496065
154,VES,35.713577
155,VND,26022.741219
156,VUV,129.180343
157,WST,2.863314
158,XAF,655.939685
159,XAG,0.046124
160,XAU,0.000554
161,XCD,2.884058
162,XDR,0.806379
163,XOF,655.945831
164,XPF,119.860324
165,YER,267.137264
166,ZAR,20.282055
167,ZMK,9605.734264
168,ZMW,21.764222
169,ZWL,343.625674
